n	x	y	t	dx	dy	dt
109	17.812394	16.030511999999998	39.4	-0.07634900000000044	0.04546600000000112	0.02000000000000313
109	17.736045	16.075978	39.42	0.06500499999999931	-0.06289500000000102	0.019999999999996017
109	17.80105	16.013082999999998	39.44	-0.032727999999998765	-0.08471499999999921	0.02000000000000313
110	17.711296	17.166427	39.5	0.05540299999999832	0.10442899999999966	0.02000000000000313
110	17.766699	17.270856	39.52	-0.03163499999999786	-0.09445899999999696	0.019999999999996017
110	17.735064	17.176397	39.54	0.014473999999999876	-0.024492999999999654	0.02000000000000313
110	17.749538	17.151904000000002	39.56	-0.0489120000000014	0.035767999999997364	0.019999999999996017
110	17.700626	17.187672	39.58	0.13288400000000067	-0.05794599999999761	0.02000000000000313
111	17.301755	15.94239	39.56	0.1257230000000007	0.07712799999999831	0.019999999999996017
112	17.26209	15.959696	39.62	0.17253999999999792	-0.06687200000000004	0.02000000000000313
112	17.43463	15.892824	39.64	-0.036581999999999226	0.08467900000000128	0.019999999999996017
112	17.398048	15.977503	39.66	0.04529799999999895	-0.009498000000002449	0.02000000000000313
112	17.443346	15.968004999999998	39.68	-0.010478999999996573	0.04682100000000133	0.02000000000000313
112	17.432867	16.014826	39.7	0.3443949999999987	-0.025709999999998345	0.019999999999996017
113	17.685584	17.083579	39.64	0.03404600000000002	0.12588999999999828	0.019999999999996017
114	18.393597	15.508074	39.72	0.08498699999999815	-0.04240799999999823	0.02000000000000313
115	18.343912	15.4375	39.82	0.13050200000000345	-0.005589999999999762	0.02000000000000313
116	17.719333	15.968746	39.96	-0.2651520000000005	0.08229400000000098	0.019999999999996017
117	18.399731	15.434518	40.02	0.05376000000000048	0.04889999999999972	0.019999999999996017
118	17.413774	15.863537	40.04	-0.10532800000000007	0.053402999999999416	0.02000000000000313
119	17.229522	16.142736	40.1	0.1861840000000008	-0.11404599999999833	0.019999999999996017
120	17.449947	16.045013	40.16	-0.012958000000001135	-0.06263500000000022	0.02000000000000313
120	17.436989	15.982378	40.18	0.2547840000000008	0.037482999999998164	0.02000000000000313
120	17.691773	16.019861	40.2	0.023653999999996955	-0.01583899999999971	0.019999999999996017
122	17.39883	16.014149	40.54	-0.07679000000000258	0.0059280000000008215	0.02000000000000313
122	17.322039999999998	16.020077	40.56	-0.052916999999997216	0.030573000000000405	0.019999999999996017
122	17.269123	16.05065	40.58	0.16042599999999752	-0.01952200000000204	0.02000000000000313
123	18.328042	15.409303	40.66	0.19172299999999964	0.04632199999999997	0.02000000000000313
124	17.313589999999998	15.979849	40.68	0.12531600000000154	-0.045737000000000805	0.02000000000000313
124	17.438906	15.934112	40.7	0.007582000000002864	0.07177300000000031	0.019999999999996017
124	17.446488000000002	16.005885	40.72	-0.0781470000000013	0.0052970000000023285	0.02000000000000313
